,country_text,start_procedures,start_cost,year,start_cost_1,start_procedure_1,cpi,cpi_5geo,cpi_7geo,cpi_5geo_1,cpi_7geo_1,deflator,deflator_5geo,deflator_7geo,deflator_5geo_1,deflator_7geo_1,entrepreneurial_intention,entrepreneurship_desirable,establish,necessity_driven,male,country_short,ln_prgdp,ln_prgdp_1,growth_prgdp,growth_prgdp_1,govcon,govcon_1,trade,trade_1,pop_retire,pop_retire_1,tertiary,tertiary_1,csh_i,csh_i_1,labor,labor_1,unemp,unemp_1,polity,polity_1,corruption,corruption_1,country_id,ycode1,ycode2,ycode3,ycode4,ycode5,ycode6,ycode7,ycode8,ycode9,ycode10,ycode11,ccode1,ccode2,ccode3,ccode4,ccode5,ccode6,ccode7,ccode8,ccode9,ccode10,ccode11,ccode12,ccode13,ccode14,ccode15,ccode16,ccode17,ccode18,ccode19,ccode20,ccode21,ccode22,ccode23,ccode24,ccode25,ccode26,ccode27,ccode28,ccode29,ccode30,ccode31,ccode32,ccode33,ccode34,ccode35,ccode36,ccode37,ccode38,ccode39,ccode40,ccode41,ccode42,ccode43,ccode44,ccode45,ccode46,ccode47,ccode48,ccode49,ccode50,ccode51,ccode52,ccode53,ccode54,ccode55,ccode56,ccode57,ccode58,ccode59,ccode60,ccode61,ccode62,ccode63,ccode64,ccode65,ccode66,ccode67,ccode68,ccode69,ccode70,ccode71,ccode72,ccode73,ccode74,ccode75,ccode76,ccode77,ccode78,ccode79,ccode80,ccode81,ccode82,ccode83,ccode84,ccode85,ccode86,ccode87,ccode88,ccode89,ccode90,ccode91,ccode92,ccode93,ccode94,ccode95,ccode96,ccode97,ccode98,ccode99,ccode100,ccode101,ccode102,ccode103,ccode104,ccode105,ccode106,ccode107,ccode108,ccode109,ccode110,ccode111,ccode112,ccode113,ccode114,ccode115,ccode116,ccode117,ccode118,ccode119,ccode120,ccode121,ccode122,ccode123,ccode124,ccode125,ccode126,ccode127,ccode128,ccode129,ccode130,ccode131,ccode132,ccode133,ccode134,ccode135,ccode136,ccode137,ccode138,ccode139,ccode140,ccode141,ccode142,ccode143,ccode144,ccode145,ccode146,ccode147,ccode148,ccode149,ccode150,ccode151,ccode152,ccode153,ccode154,ccode155,ccode156,ccode157,ccode158,ccode159,ccode160,ccode161,ccode162,ccode163,ccode164,ccode165,ccode166,ccode167,ccode168,ccode169,ccode170,ccode171,ccode172,ccode173,ccode174,ccode175,ccode176,ccode177,ccode178,ccode179,ccode180,ccode181,ccode182,ccode183,ccode184,gdp_d50,cost_d50,inf_d50,tertiary_d50,corruption_d50,pop_retire_d50,polity_d50,gdp_d50_1,cost_d50_1,tertiary_d50_1,pop_retire_d50_1,polity_d50_1,cost_50,cost_infgeo,cost_d25,cost_infgeo_25,cost_d75,cost_infgeo_75,inf7_d50,cost_inf7geo,cost_inf7geo_25,cost_inf7geo_75,deflator_d50,deflator7_d50,cost_deflator5geo,cost_deflator5geo_25,cost_deflator5geo_75,cost_deflator7geo,cost_deflator7geo_25,cost_deflator7geo_75,inf_d50_1,corruption_d50_1,cost_d50_2,pro_d50_1,gdp_d75_1,gdp_d25_1,cost_d75_1,cost_d25_1,cost_dd25_1,cost_cost_dd25_1,pro_cost_dd25_1,cost_50_1,cost_cost_50_1,pro_cost_50_1,inf7_50_1,nascent,rinterest,deposit,spread
0,Ukraine,15.0,25.6,2004,,,9.048068,13.289716,13.27183,14.429291,22.339975,15.155654,14.4284725,14.592322,15.219248,21.82952,,,,,,UKR,7.4773946,7.3555875,12.18071,0.09795523,0.18077846,0.19012956,1.1490903,1.1293277,0.15735334,0.15321031,0.6485601,0.6049191,0.21134238,0.21970196,66.6,66.5,8.6,9.1,2.8332,2.8332,2.2,2.3,Ukraine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,25.6,13.289716,0.6485601,2.2,0.15735334,2.8332,1.0,25.6,0.6049191,0.15321031,2.8332,1.0,13.289716,0.0,0.0,1.0,13.289716,13.27183,13.27183,0.0,13.27183,14.4284725,14.592322,14.4284725,0.0,14.4284725,14.592322,0.0,14.592322,13.289716,2.3,,,1.0,0.0,,,0.0,,,0.0,,,13.27183,,1.9500314,7.7959085,9.605317
1,Mali,12.0,204.3,2004,,,-3.0997813,1.3535193,1.484597,2.4362698,2.6422408,-0.6140739,3.6744828,2.7585113,3.4121706,3.351306,,,,,,MLI,5.993728,6.0035386,-0.98104477,0.041044235,0.10027362,0.084317304,0.6313898,0.63783514,0.029752726,0.030504182,,,0.2098977,0.24231155,53.2,53.0,8.8,8.6,2.8904,2.8904,3.2,3.0,Mali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,204.3,1.3535193,,3.2,0.029752726,2.8904,1.0,204.3,,0.030504182,2.8904,0.0,0.0,0.0,0.0,0.0,0.0,1.484597,0.0,0.0,0.0,3.6744828,2.7585113,0.0,0.0,0.0,0.0,0.0,0.0,1.3535193,3.0,,,1.0,1.0,,,0.0,,,0.0,,,1.484597,,,3.5,
2,Cameroon,11.0,193.0,2004,,,0.23364738,2.186619,2.6945238,2.6988914,3.1691563,1.5085003,2.1798105,2.602137,2.8722594,2.9521084,,,,,,CMR,6.821986,6.811378,1.0608196,0.013682842,0.1016423,0.09974582,0.3923135,0.40149653,0.03335868,0.033561107,0.050573602,0.050899602,0.18909582,0.17496464,69.9,69.8,5.1,6.0,1.9459,1.9459,2.1,1.8,Cameroon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,193.0,2.186619,0.050573602,2.1,0.03335868,1.9459,1.0,193.0,0.050899602,0.033561107,1.9459,0.0,0.0,0.0,0.0,0.0,0.0,2.6945238,0.0,0.0,0.0,2.1798105,2.602137,0.0,0.0,0.0,0.0,0.0,0.0,2.186619,1.8,,,1.0,1.0,,,0.0,,,0.0,,,2.6945238,,16.246422,5.0,13.0
3,Lebanon,7.0,129.7,2004,,,,,,,,-2.917119,0.679993,3.1468458,1.1747195,4.012263,,,,,,LBN,8.587699,8.558362,2.933693,-0.017599106,0.14602722,0.16634186,0.9452675,0.54090834,0.07324855,0.072187655,0.4361014,0.4303044,0.22719215,0.19161025,49.3,49.0,7.9,8.5,2.3979,2.3979,2.7,3.0,Lebanon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,0.0,,,0.0,,,0.0,,,,,14.137871,7.3733335,3.435
4,Slovenia,9.0,14.8,2004,,,3.5890267,7.2923994,7.533131,7.7627444,8.135965,3.316218,6.781683,7.102726,7.1309714,7.9142566,8.35,59.28,4.2,16.5,3.59,SVN,9.769965,9.728009,4.195595,0.027424812,0.18664244,0.18806273,1.1137692,1.021085,0.1525121,0.14988452,0.7268094,0.6914746,0.2860545,0.2642174,70.0,67.4,6.3,6.7,3.0445,3.0445,6.0,5.9,Slovenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2923994,1.0,7.2923994,1.0,7.2923994,0.0,7.533131,7.533131,7.533131,0.0,0.0,6.781683,6.781683,6.781683,7.102726,7.102726,7.102726,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,,0.0,1.9015967,5.162681,3.8166666,4.8333335
5,Benin,10.0,148.0,2004,,,0.8738908,2.4800801,3.0823498,3.3275099,3.572566,0.37749952,2.314414,2.9191372,3.0151033,3.6557746,,,,,,BEN,6.2817783,6.2840476,-0.2269268,0.004807472,0.12090384,0.12624586,0.48660132,0.5203573,0.028187776,0.028373735,0.0587204,0.0581991,0.20672908,0.2030472,73.0,72.9,1.3,0.9,2.8332,2.8332,3.2,,Benin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,148.0,2.4800801,0.0587204,3.2,0.028187776,2.8332,1.0,148.0,0.0581991,0.028373735,2.8332,0.0,0.0,0.0,0.0,0.0,0.0,3.0823498,0.0,0.0,0.0,2.314414,2.9191372,0.0,0.0,0.0,0.0,0.0,0.0,2.4800801,,,,1.0,1.0,,,0.0,,,0.0,,,3.0823498,,,3.5,
6,Brazil,17.0,13.1,2004,,,6.599125,8.329992,7.3812037,6.061845,7.520019,7.7729545,9.056645,8.265393,7.2686787,8.598715,32.73,79.45,10.11,46.12,15.7,BRA,8.443966,8.402367,4.1599274,-0.0020017624,0.18315572,0.18918659,0.2966603,0.28107885,0.056983877,0.055319477,,,0.18038857,0.17056873,73.6,72.7,8.9,9.7,2.9444,2.9444,3.9,3.9,Brazil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,8.329992,1.0,8.329992,1.0,8.329992,0.0,7.3812037,7.3812037,7.3812037,0.0,0.0,9.056645,9.056645,9.056645,8.265393,8.265393,8.265393,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,4.9768176,43.751278,15.416151,39.50885
7,Armenia,9.0,8.4,2004,,,6.9612613,1.7384396,4.379288,2.4947872,6.262007,6.3095326,1.910298,5.270311,3.0795205,7.309687,,,,,,ARM,7.260001,7.1570034,10.299778,0.13494635,0.10172964,0.10207248,0.7503721,0.82187647,0.115376435,0.11277952,0.36801028,0.3620652,0.24878359,0.24257931,68.2,69.3,33.6,28.6,2.7726,2.7726,3.1,3.0,Armenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.4,1.7384396,0.36801028,3.1,0.115376435,2.7726,1.0,8.4,0.3620652,0.11277952,2.7726,1.0,1.7384396,1.0,1.7384396,1.0,1.7384396,4.379288,4.379288,4.379288,4.379288,1.910298,5.270311,1.910298,1.910298,1.910298,5.270311,5.270311,5.270311,1.7384396,3.0,,,1.0,0.0,,,0.0,,,0.0,,,4.379288,,11.592331,4.896017,13.7372675
8,Mexico,9.0,29.5,2004,,,4.688283,8.315947,11.066916,10.57751,15.121829,8.310707,8.986344,11.068267,10.806366,14.264997,,,,,,MEX,8.957649,8.92832,2.93293,0.0017938614,0.10678028,0.1131211,0.54226416,0.5123527,0.05260891,0.051920246,0.2276664,0.2194156,0.22655241,0.21886522,62.5,61.0,3.7,3.0,2.9444,2.9444,3.6,3.6,Mexico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.315947,0.0,0.0,1.0,8.315947,0.0,11.066916,0.0,11.066916,0.0,0.0,8.986344,0.0,8.986344,11.068267,0.0,11.068267,0.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,0.0,,-0.8054359,2.695,4.7433333
9,Peru,10.0,39.4,2004,,,3.6624732,2.3234375,3.8874867,3.3028226,5.184498,5.623103,2.2189941,3.4608166,2.8009167,4.4260607,48.25,78.22,14.46,32.51,41.45,PER,7.857692,7.8216753,3.6016464,0.028242588,0.11268698,0.11460263,0.41032752,0.3667111,0.055136714,0.05358698,0.33296502,0.315336,0.16854367,0.17938961,71.3,71.5,5.2,6.1,2.9957,2.9957,3.5,3.7,Peru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,39.4,2.3234375,0.33296502,3.5,0.055136714,2.9957,1.0,39.4,0.315336,0.05358698,2.9957,1.0,2.3234375,0.0,0.0,1.0,2.3234375,3.8874867,3.8874867,0.0,3.8874867,2.2189941,3.4608166,2.2189941,0.0,2.2189941,3.4608166,0.0,3.4608166,2.3234375,3.7,,,1.0,0.0,,,0.0,,,0.0,,,3.8874867,31.301086,18.03721,2.4176545,22.25691
